"Nom";"Licences - Entité";"Éditeur";"Versions - Nom";"Versions - Système d'exploitation";"Licences - Nombre d'installations";"Licences - Nombre de licences";
"CapturePicker";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"CCleaner";"Root entity";"Piriform";"5.65
5.63";"Windows";"2";"0";
"CCXP_3_3_0_32";"Root entity";"Adobe Systems Incorporated";"";"Windows";"1";"0";
"Client Microsoft Edge DevTools";"Root entity";"Microsoft Platform Extensions";"1000.19041.1.0";"Windows";"1";"0";
"Client Microsoft Edge DevTools";"Root entity";"Microsoft Corporation";"1000.18362.449.0";"Windows";"1";"0";
"COCM_1_0_32";"Root entity";"Adobe Systems Incorporated";"";"Windows";"1";"0";
"Compte professionnel ou scolaire";"Root entity";"Microsoft Corporation";"1000.19041.1.0
1000.18362.449.0";"Windows";"2";"0";
"ConfigTool 4.05.0";"Root entity";"";"4.05.0";"Windows";"2";"0";
"Configuration de Windows Hello";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"Contenu Microsoft";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"Contrôle visuel";"Root entity";"Microsoft Platform Extensions";"10.0.19041.1";"Windows";"1";"0";
"COPS_1_0_32";"Root entity";"Adobe Systems Incorporated";"";"Windows";"1";"0";
"CORE_1_0_32";"Root entity";"Adobe Systems Incorporated";"";"Windows";"1";"0";
"CorelVHS3X64";"Root entity";"Corel";"1.06.0000";"Windows";"1";"0";
"CORG_1_1_32";"Root entity";"Adobe Systems Incorporated";"";"Windows";"1";"0";
"Cortana";"Root entity";"Microsoft Platform Extensions";"2.2007.9736.0
2.2007.24723.0";"Windows";"1";"0";
"CrystalDiskInfo 8.4.0";"Root entity";"Crystal Dew World";"8.4.0";"Windows";"1";"0";
"CrystalDiskInfo 8.4.2";"Root entity";"Crystal Dew World";"8.4.2";"Windows";"1";"0";
"DAEMON Tools Lite";"Root entity";"Disc Soft Ltd";"10.12.0.1226
10.11.0.0948";"Windows";"2";"0";
"Dazzle Video Capture DVC100 X64 Driver 1.07";"Root entity";"Pinnacle";"1.07.0000";"Windows";"1";"0";
"Débit de la connexion réseau";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"Definition Update for Microsoft Office 2013 (KB3115404) 64-Bit Edition";"Root entity";"Microsoft";"";"Windows";"1";"0";
"Device Manager NX Lite";"Root entity";"Ricoh Company, Ltd.";"DL01.01.02-0504";"Windows";"1";"0";
"Device Software Manager 2.12.0.0";"Root entity";"Ricoh Company, Ltd.";"2.12.0.0";"Windows";"1";"0";
"DisplayLink Core Software";"Root entity";"DisplayLink Corp.";"7.9.296.0";"Windows";"1";"0";
"Domotz Agent";"Root entity";"";"";"Windows";"0";"0";
"dr.fone toolkit pour Android (Version 8.3.3)";"Root entity";"Wondershare Technology Co.,Ltd.";"8.3.3.64";"Windows";"1";"0";
"dr.fone toolkit pour iOS (Version 8.5.0)";"Root entity";"Wondershare Technology Co.,Ltd.";"8.5.0.54";"Windows";"1";"0";
"DriversCloud.com (64 bits)";"Root entity";"Cybelsoft";"10.0.11.0";"Windows";"1";"0";
"DYMO Label";"Root entity";"Newell Rubbermaid";"8.7.2.45959";"Windows";"1";"0";
"E-mail et comptes";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"EcoUpdater version 1.1.3";"Root entity";"Legrand";"1.1.3";"Windows";"1";"0";
"Écran de verrouillage par défaut de Windows";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"Etcher 1.3.1 (only current user)";"Root entity";"Resin Inc.";"1.3.1";"Windows";"1";"0";
"Evernote v. 6.24.2";"Root entity";"Evernote Corp.";"6.24.2.8919";"Windows";"1";"0";
"Examen";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"Expérience Windows Shell";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"Explorateur de fichiers";"Root entity";"Microsoft Corporation";"10.0.19041.1
10.0.18362.449";"Windows";"2";"0";
"Extensions d'image HEIF";"Root entity";"Microsoft Platform Extensions";"1.0.31572.0";"Windows";"1";"0";
